date,temp_mean,temp_min,temp_max
1,3.6,-0.4,4.6
2,2.6,-1.5,7.5
3,2.4,0.4,4.4
4,-1.6,-0.9,0.4
5,-1.6,-4.2,0.2
6,-2.7,-2.8,1.2
7,0.2,-5.3,3.8
8,2.4,-0.8,6.7
9,-0.8,0.9,1.4
10,-3.2,-8,3.5
11,0.1,-6.2,3.6
12,0.8,-3,5.1
13,1.9,-0.1 ,4.5
14,2.8,-0.1,5.7
15,-1.3,1.2,2.5
16,-4.9,-8.3,-0.4
17,-3.0,-8.4,0.5
18,-4.4,-7.9,-0.3
19,-3.2,-8.9,3.9
20,0.2,-4.2,2.2
21,4.8,0.1,10.5
22,9.0,1.1,10.5
23,4.2,0.2,4.4
24,3.4,-0.1,10.8
25,7.9,4.1,12.6
26,8.0,8.6,13.1
27,2.3,-2.1,8.7
28,3.8,-1.4,6.5
29,0.6,0.6,2.9
30,0.1,-2.5,7.1
31,5.7,-2,10.0
